kW,V,t1,t2,t3,t4,t5,t6
5.265,405.0,68.0,67.0,66.0,69.0,69.0,68.0
4.06,406.0,68.0,67.0,66.0,69.0,69.0,68.0
4.06,406.0,68.0,67.0,66.0,69.0,69.0,68.0
4.455,405.0,68.0,67.0,66.0,69.0,69.0,68.0
4.86,405.0,68.0,67.0,66.0,69.0,69.0,68.0
4.86,405.0,68.0,67.0,66.0,69.0,68.0,68.0
4.86,405.0,68.0,67.0,66.0,69.0,68.0,68.0
4.848,404.0,68.0,67.0,66.0,69.0,68.0,68.0
5.252,404.0,68.0,67.0,66.0,69.0,68.0,68.0
5.239,403.0,68.0,67.0,66.0,69.0,68.0,68.0
5.642,403.0,68.0,67.0,66.0,69.0,68.0,68.0
5.642,403.0,68.0,67.0,66.0,69.0,68.0,68.0
5.628,402.0,68.0,67.0,66.0,69.0,68.0,68.0
5.628,402.0,68.0,67.0,66.0,69.0,68.0,68.0
6.03,402.0,68.0,67.0,66.0,69.0,68.0,68.0
6.03,402.0,68.0,67.0,66.0,69.0,68.0,68.0
4.05,405.0,68.0,67.0,66.0,69.0,68.0,68.0
4.06,406.0,68.0,67.0,66.0,69.0,68.0,68.0
2.448,408.0,68.0,67.0,66.0,69.0,68.0,68.0
-0.832,416.0,68.0,67.0,66.0,69.0,68.0,68.0
-0.83,415.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,413.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,413.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,66.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,64.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,64.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,64.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,64.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,64.0,69.0,68.0,68.0
0.0,414.0,68.0,67.0,64.0,69.0,68.0,68.0
0.824,412.0,68.0,67.0,64.0,69.0,68.0,68.0
4.07,407.0,68.0,67.0,64.0,69.0,68.0,68.0
6.464,404.0,68.0,67.0,64.0,69.0,68.0,68.0
5.642,403.0,68.0,67.0,64.0,69.0,68.0,68.0
4.848,404.0,68.0,67.0,64.0,69.0,68.0,68.0
4.455,405.0,68.0,67.0,64.0,69.0,68.0,68.0
