kW,V
5.656,404.0
6.06,404.0
5.656,404.0
5.656,404.0
4.86,405.0
4.466,406.0
4.884,407.0
5.278,406.0
5.656,404.0
5.67,405.0
5.67,405.0
5.656,404.0
5.67,405.0
6.06,404.0
5.656,404.0
5.67,405.0
4.872,406.0
4.477,407.0
4.872,406.0
4.872,406.0
4.884,407.0
4.477,407.0
4.884,407.0
5.265,405.0
5.278,406.0
6.06,404.0
6.045,403.0
6.06,404.0
4.466,406.0
4.477,407.0
5.67,405.0
5.656,404.0
6.06,404.0
6.06,404.0
6.464,404.0
6.448,403.0
7.619,401.0
7.619,401.0
8.02,401.0
8.0,400.0
8.0,400.0
8.4,400.0
8.379,399.0
8.379,399.0
8.379,399.0
8.778,399.0
7.6,400.0
8.756,398.0
8.756,398.0
9.154,398.0
9.528,397.0
9.552,398.0
9.528,397.0
9.528,397.0
9.528,397.0
9.528,397.0
9.504,396.0
9.154,398.0
9.154,398.0
8.756,398.0
8.379,399.0
8.756,398.0
8.756,398.0
8.4,400.0
7.98,399.0
6.817,401.0
7.218,401.0
7.6,400.0
7.6,400.0
7.619,401.0
7.218,401.0
7.218,401.0
7.218,401.0
7.218,401.0
7.218,401.0
7.218,401.0
7.218,401.0
4.466,406.0
-1.668,417.0
-0.832,416.0
0.0,414.0
0.0,414.0
0.0,414.0
0.0,414.0
0.0,414.0
0.0,414.0
0.0,414.0
0.414,414.0
0.0,414.0
0.414,414.0
0.414,414.0
0.826,413.0
0.414,414.0
1.236,412.0
2.87,410.0
1.648,412.0
0.826,413.0
0.826,413.0
1.236,412.0
1.236,412.0
0.0,414.0
0.414,414.0
0.0,414.0
0.414,414.0
0.828,414.0
1.648,412.0
2.06,412.0
2.46,410.0
2.055,411.0
1.644,411.0
1.644,411.0
1.644,411.0
2.055,411.0
2.05,410.0
2.87,410.0
2.863,409.0
3.672,408.0
3.672,408.0
3.663,407.0
4.07,407.0
4.872,406.0
4.466,406.0
4.86,405.0
4.466,406.0
4.466,406.0
4.07,407.0
3.663,407.0
3.663,407.0
4.06,406.0
4.07,407.0
4.466,406.0
4.466,406.0
4.872,406.0
4.466,406.0
4.466,406.0
4.872,406.0
4.872,406.0
5.656,404.0
5.656,404.0
5.656,404.0
5.265,405.0
5.252,404.0
5.265,405.0
5.252,404.0
5.252,404.0
5.656,404.0
5.656,404.0
5.265,405.0
4.86,405.0
4.86,405.0
4.86,405.0
4.86,405.0
4.07,407.0
4.07,407.0
2.454,409.0
3.264,408.0
3.672,408.0
3.663,407.0
3.672,408.0
3.264,408.0
3.264,408.0
3.672,408.0
4.07,407.0
4.466,406.0
4.466,406.0
4.872,406.0
4.872,406.0
4.86,405.0
4.86,405.0
5.656,404.0
6.045,403.0
6.432,402.0
6.448,403.0
6.834,402.0
6.834,402.0
6.432,402.0
6.817,401.0
6.817,401.0
6.817,401.0
6.432,402.0
6.045,403.0
6.432,402.0
6.432,402.0
6.432,402.0
6.416,401.0
6.448,403.0
6.432,402.0
5.642,403.0
3.256,407.0
-1.248,416.0
-0.83,415.0
-0.0,414.0
0.0,413.0
0.0,414.0
0.0,414.0
0.0,414.0
0.0,414.0
0.0,414.0
0.0,414.0
0.0,414.0
0.414,414.0
2.87,410.0
2.055,411.0
1.644,411.0
0.826,413.0
0.826,413.0
0.0,414.0
0.413,413.0
0.826,413.0
0.826,413.0
0.826,413.0
0.826,413.0
0.414,414.0
0.413,413.0
0.413,413.0
0.0,414.0
0.0,414.0
0.0,414.0
0.0,414.0
0.414,414.0
0.414,414.0
