kW,t1,t2,V
5.82,69.0,69.0,388
6.93,69.0,69.0,385
8.064,69.0,71.0,384
0.0,69.0,71.0,399
1.191,69.0,71.0,397
5.057,69.0,71.0,389
6.192,69.0,71.0,387
5.82,69.0,71.0,388
6.948,69.0,71.0,386
7.68,69.0,71.0,384
8.448,69.0,71.0,384
9.144,69.0,71.0,381
10.26,69.0,71.0,380
0.0,69.0,71.0,398
0.0,69.0,71.0,399
3.528,69.0,71.0,392
4.68,69.0,71.0,390
0.0,69.0,71.0,398
1.191,69.0,71.0,397
6.579,69.0,71.0,387
7.7,69.0,71.0,385
8.426,69.0,71.0,383
3.91,69.0,71.0,391
8.426,69.0,71.0,383
9.525,69.0,71.0,381
10.612,69.0,71.0,379
7.315,69.0,71.0,385
0.0,69.0,71.0,398
3.92,69.0,71.0,392
0.0,69.0,71.0,399
5.057,69.0,71.0,389
6.192,69.0,71.0,387
0.0,69.0,71.0,399
5.446,69.0,71.0,389
5.805,69.0,71.0,387
6.948,69.0,69.0,386
8.043000000000001,69.0,69.0,383
0.0,69.0,69.0,398
0.398,69.0,71.0,398
0.0,71.0,71.0,399
5.432,71.0,71.0,388
5.446,71.0,71.0,389
2.364,69.0,71.0,394
0.802,69.0,71.0,401
6.948,69.0,71.0,386
7.68,71.0,71.0,384
8.786,71.0,71.0,382
9.88,71.0,71.0,380
0.0,69.0,71.0,397
0.0,69.0,71.0,398
3.136,69.0,73.0,392
6.93,71.0,73.0,385
0.0,71.0,73.0,398
5.82,71.0,73.0,388
6.176,71.0,73.0,386
7.68,71.0,73.0,384
8.404,71.0,73.0,382
2.364,69.0,73.0,394
7.296,69.0,73.0,384
8.426,69.0,71.0,383
9.144,71.0,71.0,381
2.0,71.0,71.0,400
0.798,71.0,73.0,399
2.358,69.0,73.0,393
1.576,69.0,73.0,394
0.0,69.0,73.0,398
5.432,73.0,73.0,388
0.8,73.0,73.0,400
0.0,73.0,71.0,398
0.792,71.0,71.0,396
5.057,71.0,71.0,389
5.82,71.0,71.0,388
7.296,71.0,71.0,384
0.397,71.0,71.0,397
0.0,71.0,73.0,398
4.279,71.0,73.0,389
5.432,71.0,73.0,388
0.0,71.0,73.0,398
1.584,71.0,73.0,396
1.584,71.0,73.0,396
1.584,71.0,73.0,396
4.68,71.0,73.0,390
2.358,71.0,73.0,393
6.192,71.0,73.0,387
7.315,71.0,73.0,385
8.404,71.0,73.0,382
9.5,71.0,73.0,380
0.0,71.0,73.0,397
5.446,71.0,73.0,389
6.545,71.0,73.0,385
6.176,71.0,73.0,386
0.398,71.0,73.0,398
3.136,71.0,73.0,392
7.66,71.0,73.0,383
8.404,71.0,73.0,382
6.5280000000000005,71.0,69.0,384
9.854000000000001,71.0,69.0,379
9.475,71.0,69.0,379
10.933,71.0,73.0,377
0.0,71.0,73.0,396
5.018,71.0,73.0,386
4.268,71.0,73.0,388
0.0,71.0,73.0,396
5.418,71.0,73.0,387
6.144,71.0,73.0,384
2.737,71.0,73.0,391
5.79,71.0,73.0,386
6.144,71.0,73.0,384
7.258,71.0,73.0,382
8.382,71.0,73.0,381
2.352,71.0,73.0,392
0.79,71.0,73.0,395
4.268,71.0,73.0,388
5.39,71.0,71.0,385
5.39,71.0,71.0,385
6.5280000000000005,71.0,71.0,384
7.239,71.0,73.0,381
6.144,73.0,73.0,384
8.36,73.0,73.0,380
9.450000000000001,73.0,73.0,378
10.528,71.0,73.0,376
0.396,71.0,73.0,396
1.96,71.0,73.0,392
2.73,71.0,73.0,390
4.257,71.0,73.0,387
0.0,71.0,73.0,396
3.89,71.0,73.0,389
5.432,71.0,73.0,388
5.775,71.0,73.0,385
6.16,71.0,73.0,385
6.144,71.0,73.0,384
1.572,71.0,73.0,393
8.022,71.0,73.0,382
9.072000000000001,71.0,73.0,378
10.179,71.0,73.0,377
4.656,71.0,73.0,388
2.737,71.0,73.0,391
3.88,71.0,73.0,388
0.0,71.0,73.0,396
5.418,71.0,73.0,387
0.0,71.0,75.0,396
0.0,71.0,75.0,396
0.0,69.0,75.0,397
1.965,69.0,73.0,393
5.031,69.0,73.0,387
5.775,71.0,73.0,385
6.912,71.0,73.0,384
0.0,71.0,73.0,396
0.0,71.0,73.0,396
3.136,71.0,73.0,392
4.268,71.0,73.0,388
0.399,71.0,73.0,399
5.031,71.0,75.0,387
0.0,71.0,75.0,396
1.576,73.0,75.0,394
2.352,73.0,73.0,392
5.031,73.0,73.0,387
5.418,71.0,73.0,387
5.79,71.0,73.0,386
4.279,71.0,73.0,389
1.194,71.0,73.0,398
0.0,71.0,75.0,396
0.396,71.0,75.0,396
1.182,71.0,75.0,394
3.12,71.0,75.0,390
0.0,71.0,75.0,397
3.89,71.0,75.0,389
5.418,71.0,75.0,387
6.5280000000000005,71.0,75.0,384
7.277,71.0,75.0,383
7.640000000000001,71.0,75.0,382
8.001,71.0,75.0,381
9.072000000000001,71.0,75.0,378
10.179,71.0,73.0,377
8.338000000000001,71.0,73.0,379
0.394,71.0,73.0,394
3.12,71.0,75.0,390
2.73,71.0,75.0,390
0.394,71.0,75.0,394
4.632,71.0,73.0,386
5.76,71.0,73.0,384
0.0,71.0,73.0,395
1.568,71.0,73.0,392
4.632,71.0,73.0,386
5.76,73.0,73.0,384
6.876,73.0,75.0,382
3.483,73.0,75.0,387
1.96,73.0,75.0,392
1.572,73.0,75.0,393
0.0,73.0,75.0,395
4.632,71.0,75.0,386
0.0,71.0,75.0,396
0.788,71.0,75.0,394
0.0,73.0,75.0,396
5.018,73.0,73.0,386
6.128,73.0,73.0,383
7.239,73.0,73.0,381
8.36,73.0,75.0,380
9.450000000000001,73.0,75.0,378
0.0,73.0,75.0,394
0.0,73.0,75.0,394
4.644,73.0,75.0,387
3.88,73.0,75.0,388
0.0,73.0,71.0,395
2.737,73.0,71.0,391
5.76,73.0,71.0,384
7.239,73.0,75.0,381
0.0,73.0,75.0,395
0.0,73.0,75.0,395
0.0,73.0,75.0,395
0.0,73.0,75.0,396
0.0,73.0,75.0,396
0.0,73.0,75.0,396
0.0,73.0,75.0,395
0.0,73.0,76.0,395
0.0,73.0,76.0,396
0.395,73.0,76.0,395
0.396,73.0,76.0,396
0.0,73.0,75.0,397
0.792,73.0,75.0,396
0.396,73.0,75.0,396
0.395,73.0,75.0,395
0.0,73.0,75.0,397
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,397
0.0,75.0,75.0,398
0.0,75.0,75.0,398
0.0,75.0,75.0,398
0.0,75.0,76.0,398
0.0,75.0,76.0,398
0.0,75.0,76.0,398
0.0,73.0,76.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,73.0,75.0,398
0.0,76.0,75.0,398
0.0,76.0,75.0,401
0.0,76.0,75.0,401
0.0,76.0,75.0,401
0.0,73.0,75.0,401
0.0,73.0,75.0,401
0.0,73.0,75.0,401
0.0,73.0,75.0,401
0.0,73.0,75.0,401
0.0,73.0,75.0,401
0.0,73.0,75.0,401
0.0,73.0,75.0,401
0.0,73.0,75.0,401
0.0,73.0,75.0,401
0.0,73.0,75.0,401
0.0,73.0,75.0,401
0.0,71.0,75.0,401
0.0,71.0,76.0,400
1.191,71.0,76.0,397
2.364,71.0,76.0,394
3.92,71.0,75.0,392
0.804,71.0,75.0,402
0.4,71.0,75.0,400
0.397,71.0,73.0,397
4.301,71.0,73.0,391
5.432,73.0,73.0,388
6.579,73.0,75.0,387
0.0,73.0,75.0,399
6.613,73.0,75.0,389
5.057,73.0,75.0,389
6.562,73.0,75.0,386
7.315,73.0,75.0,385
0.0,73.0,75.0,397
1.975,73.0,75.0,395
3.9,73.0,75.0,390
4.668,73.0,75.0,389
6.562,73.0,75.0,386
5.79,73.0,75.0,386
6.545,73.0,75.0,385
7.66,73.0,75.0,383
8.74,73.0,75.0,380
9.475,73.0,75.0,379
10.556000000000001,73.0,75.0,377
1.191,73.0,75.0,397
0.788,73.0,75.0,394
7.277,73.0,75.0,383
6.511,73.0,75.0,383
0.792,73.0,75.0,396
5.39,73.0,75.0,385
6.144,73.0,75.0,384
7.62,73.0,75.0,381
8.694,73.0,75.0,378
12.342,73.0,75.0,374
9.425,73.0,73.0,377
10.5,73.0,73.0,375
8.338000000000001,71.0,73.0,379
1.945,71.0,75.0,389
0.784,71.0,75.0,392
8.404,73.0,75.0,382
0.0,73.0,75.0,395
6.84,73.0,75.0,380
0.0,73.0,75.0,394
4.257,73.0,75.0,387
5.745,73.0,75.0,383
7.22,73.0,75.0,380
8.316,73.0,75.0,378
1.17,73.0,75.0,390
0.394,73.0,75.0,394
4.6080000000000005,73.0,75.0,384
0.395,73.0,75.0,395
5.362,73.0,75.0,383
8.717,73.0,75.0,379
6.8580000000000005,73.0,75.0,381
7.9590000000000005,73.0,75.0,379
9.024000000000001,73.0,75.0,376
9.75,73.0,75.0,375
10.817,73.0,75.0,373
2.334,73.0,75.0,389
6.08,73.0,75.0,380
3.85,73.0,75.0,385
0.0,73.0,75.0,392
0.0,73.0,75.0,393
5.715,73.0,75.0,381
6.84,73.0,75.0,380
7.938,73.0,75.0,378
8.648,73.0,75.0,376
9.375,73.0,75.0,375
1.975,73.0,75.0,395
9.024000000000001,73.0,75.0,376
1.576,73.0,75.0,394
1.556,73.0,75.0,389
0.0,73.0,75.0,392
0.393,73.0,77.0,393
5.348,73.0,77.0,382
6.84,75.0,77.0,380
5.376,75.0,77.0,384
4.62,75.0,77.0,385
6.096,73.0,77.0,381
6.84,73.0,77.0,380
7.917,73.0,77.0,377
0.0,73.0,77.0,392
0.786,73.0,77.0,393
4.979,73.0,77.0,383
6.096,73.0,77.0,381
6.096,73.0,77.0,381
7.58,73.0,77.0,379
6.822,73.0,77.0,379
7.938,73.0,77.0,378
9.0,73.0,77.0,375
9.724,75.0,77.0,374
10.788,75.0,77.0,372
0.39,75.0,77.0,390
4.235,75.0,77.0,385
4.596,75.0,77.0,383
1.164,75.0,77.0,388
7.98,73.0,77.0,380
6.46,73.0,77.0,380
7.5200000000000005,73.0,77.0,376
8.648,75.0,77.0,376
8.976,75.0,75.0,374
7.896,75.0,75.0,376
8.976,75.0,75.0,374
10.416,75.0,75.0,372
0.0,75.0,75.0,390
2.3040000000000003,75.0,75.0,384
0.0,75.0,77.0,390
5.348,75.0,77.0,382
5.32,75.0,77.0,380
6.804,75.0,77.0,378
0.0,75.0,77.0,391
5.7,75.0,77.0,380
6.426,75.0,77.0,378
7.54,75.0,77.0,377
8.25,73.0,77.0,375
