kW,t1,t2
6.511,73.0,75.0
0.792,73.0,75.0
5.39,73.0,75.0
6.144,73.0,75.0
7.62,73.0,75.0
8.694,73.0,75.0
12.342,73.0,75.0
9.425,73.0,73.0
10.5,73.0,73.0
8.338000000000001,71.0,73.0
1.945,71.0,75.0
0.784,71.0,75.0
8.404,73.0,75.0
0.0,73.0,75.0
6.84,73.0,75.0
0.0,73.0,75.0
4.257,73.0,75.0
5.745,73.0,75.0
7.22,73.0,75.0
8.316,73.0,75.0
1.17,73.0,75.0
0.394,73.0,75.0
4.6080000000000005,73.0,75.0
0.395,73.0,75.0
5.362,73.0,75.0
8.717,73.0,75.0
6.8580000000000005,73.0,75.0
7.9590000000000005,73.0,75.0
9.024000000000001,73.0,75.0
9.75,73.0,75.0
10.817,73.0,75.0
2.334,73.0,75.0
6.08,73.0,75.0
3.85,73.0,75.0
0.0,73.0,75.0
0.0,73.0,75.0
5.715,73.0,75.0
6.84,73.0,75.0
7.938,73.0,75.0
8.648,73.0,75.0
9.375,73.0,75.0
1.975,73.0,75.0
9.024000000000001,73.0,75.0
1.576,73.0,75.0
1.556,73.0,75.0
0.0,73.0,75.0
0.393,73.0,77.0
5.348,73.0,77.0
6.84,75.0,77.0
5.376,75.0,77.0
4.62,75.0,77.0
6.096,73.0,77.0
6.84,73.0,77.0
7.917,73.0,77.0
0.0,73.0,77.0
0.786,73.0,77.0
4.979,73.0,77.0
6.096,73.0,77.0
6.096,73.0,77.0
7.58,73.0,77.0
6.822,73.0,77.0
7.938,73.0,77.0
9.0,73.0,77.0
9.724,75.0,77.0
10.788,75.0,77.0
0.39,75.0,77.0
4.235,75.0,77.0
4.596,75.0,77.0
1.164,75.0,77.0
7.98,73.0,77.0
6.46,73.0,77.0
7.5200000000000005,73.0,77.0
8.648,75.0,77.0
8.976,75.0,75.0
7.896,75.0,75.0
8.976,75.0,75.0
10.416,75.0,75.0
0.0,75.0,75.0
2.3040000000000003,75.0,75.0
0.0,75.0,77.0
5.348,75.0,77.0
5.32,75.0,77.0
6.804,75.0,77.0
0.0,75.0,77.0
5.7,75.0,77.0
6.426,75.0,77.0
7.54,75.0,77.0
8.25,73.0,77.0
0.0,73.0,77.0
0.0,73.0,77.0
5.3340000000000005,75.0,77.0
0.0,75.0,77.0
2.702,75.0,77.0
4.966,75.0,77.0
6.064,75.0,77.0
7.182,75.0,77.0
7.896,75.0,77.0
5.7,75.0,77.0
0.0,75.0,77.0
1.97,75.0,77.0
0.0,75.0,77.0
3.83,75.0,77.0
6.064,75.0,77.0
2.31,75.0,77.0
8.294,75.0,77.0
6.804,75.0,77.0
8.25,75.0,77.0
8.602,75.0,77.0
11.84,75.0,77.0
10.044,75.0,77.0
10.73,75.0,77.0
2.3040000000000003,75.0,77.0
7.144,75.0,75.0
0.0,75.0,75.0
0.39,75.0,75.0
6.064,75.0,75.0
7.144,75.0,77.0
0.0,75.0,77.0
0.391,75.0,77.0
6.064,75.0,77.0
6.7860000000000005,77.0,77.0
7.875,77.0,77.0
0.0,77.0,78.0
0.389,75.0,78.0
5.32,75.0,78.0
