kW,V,I,t1
0.16848000000000002,421.2,0.4,31.0
0.21059999999999998,421.2,0.5,31.0
0.21059999999999998,421.2,0.5,31.0
0.25266,421.1,0.6,31.0
0.21055000000000001,421.1,0.5,31.0
0.29477,421.1,0.7,31.0
0.33688000000000007,421.1,0.8,31.0
0.33688000000000007,421.1,0.8,31.0
0.33688000000000007,421.1,0.8,31.0
0.5473000000000001,421.0,1.3,31.0
0.5471699999999999,420.9,1.3,31.0
0.5052,421.0,1.2,31.0
0.4631,421.0,1.1,31.0
0.50508,420.9,1.2,31.0
0.50508,420.9,1.2,31.0
0.67344,420.9,1.6,31.0
0.71536,420.8,1.7,31.0
0.71536,420.8,1.7,31.0
0.75726,420.7,1.8,31.0
0.75726,420.7,1.8,31.0
0.7993299999999999,420.7,1.9,31.0
0.7993299999999999,420.7,1.9,31.0
0.9676099999999999,420.7,2.3,31.0
0.9253200000000001,420.6,2.2,31.0
1.0515,420.6,2.5,31.0
1.09356,420.6,2.6,31.0
1.13535,420.5,2.7,31.0
1.1773999999999998,420.5,2.8,31.0
1.13535,420.5,2.7,31.0
1.13535,420.5,2.7,31.0
1.1350799999999999,420.4,2.7,31.0
1.30324,420.4,3.1,31.0
1.3029300000000001,420.3,3.1,31.0
1.3029300000000001,420.3,3.1,31.0
1.34496,420.3,3.2,31.0
1.21887,420.3,2.9,31.0
1.2609000000000001,420.3,3.0,31.0
1.2611999999999999,420.4,3.0,31.0
1.13535,420.5,2.7,31.0
0.8832600000000002,420.6,2.1,31.0
0.8412000000000001,420.6,2.0,31.0
0.9253200000000001,420.6,2.2,31.0
1.0091999999999999,420.5,2.4,31.0
1.13535,420.5,2.7,31.0
1.0091999999999999,420.5,2.4,31.0
1.05125,420.5,2.5,31.0
0.96715,420.5,2.3,31.0
0.71502,420.6,1.7,31.0
0.75726,420.7,1.8,31.0
0.71519,420.7,1.7,31.0
0.8412000000000001,420.6,2.0,31.0
0.9253200000000001,420.6,2.2,31.0
0.7570800000000001,420.6,1.8,31.0
0.8832600000000002,420.6,2.1,31.0
0.8832600000000002,420.6,2.1,31.0
0.9253200000000001,420.6,2.2,31.0
0.7570800000000001,420.6,1.8,31.0
0.8412000000000001,420.6,2.0,31.0
0.9253200000000001,420.6,2.2,31.0
0.8412000000000001,420.6,2.0,31.0
0.96738,420.6,2.3,31.0
0.79914,420.6,1.9,31.0
0.7570800000000001,420.6,1.8,31.0
0.96738,420.6,2.3,31.0
0.71502,420.6,1.7,31.0
0.7989499999999999,420.5,1.9,31.0
0.9253200000000001,420.6,2.2,31.0
0.8832600000000002,420.6,2.1,31.0
0.8412000000000001,420.6,2.0,31.0
0.8830500000000001,420.5,2.1,31.0
0.8412000000000001,420.6,2.0,31.0
0.9251,420.5,2.2,31.0
0.8828400000000001,420.4,2.1,31.0
0.841,420.5,2.0,31.0
0.96715,420.5,2.3,31.0
0.92488,420.4,2.2,31.0
0.96715,420.5,2.3,31.0
1.1350799999999999,420.4,2.7,31.0
1.34464,420.2,3.2,31.0
1.5123600000000001,420.1,3.6,31.0
1.2606,420.2,3.0,31.0
1.21887,420.3,2.9,31.0
1.17656,420.2,2.8,31.0
0.9669199999999999,420.4,2.3,31.0
1.09304,420.4,2.6,31.0
1.05075,420.3,2.5,31.0
0.9669199999999999,420.4,2.3,31.0
1.05075,420.3,2.5,31.0
1.2609000000000001,420.3,3.0,31.0
1.2609000000000001,420.3,3.0,31.0
1.21858,420.2,2.9,31.0
1.3029300000000001,420.3,3.1,31.0
1.4707000000000001,420.2,3.5,31.0
1.3863299999999998,420.1,3.3,31.0
1.34464,420.2,3.2,31.0
1.3029300000000001,420.3,3.1,31.0
1.21858,420.2,2.9,31.0
1.30262,420.2,3.1,31.0
1.34464,420.2,3.2,31.0
1.4283400000000002,420.1,3.4,31.0
1.34464,420.2,3.2,31.0
1.09304,420.4,2.6,31.0
1.051,420.4,2.5,31.0
1.00872,420.3,2.4,31.0
1.05075,420.3,2.5,31.0
1.13481,420.3,2.7,31.0
1.13481,420.3,2.7,31.0
1.1768399999999999,420.3,2.8,31.0
1.13481,420.3,2.7,31.0
1.30262,420.2,3.1,31.0
1.5963800000000001,420.1,3.8,31.0
1.512,420.0,3.6,31.0
1.512,420.0,3.6,31.0
1.554,420.0,3.7,31.0
1.3863299999999998,420.1,3.3,31.0
1.3863299999999998,420.1,3.3,31.0
1.47,420.0,3.5,31.0
1.3863299999999998,420.1,3.3,31.0
